question_type,points,question_translation_latex,multiple_choice_answer,answer_translation_latex,topics_covered
Amortized analysis,na,"\documentclass{article}
\begin{document}

In this question, we analyze a new deterministic algorithm for the Selection problem. The algorithm selects the k-th largest element from a set $A$ with $n$ distinct elements.

If $n<100$, the algorithm sorts the $n$ elements and returns the k-th largest element.

Otherwise, the algorithm divides the elements into quartets. The algorithm sorts each quartet and chooses from it the third largest element. (If the quartet is $a<b<c<d$, then the chosen element is $c$.) Let $B$ be the set of chosen elements.

Among the $m=n/4$ elements of $B$, the algorithm selects, by a recursive call, the $(2/5)m$-th largest element. Let this element be $x$. ($x$ is greater than or equal to $(2/5)m$ of the elements of $B$.)

The element $x$ is now compared to all the elements of $A$. Let $A_1$ be the elements of $A$ that are less than or equal to $x$, and $A_2$ be the elements of $A$ that are greater than $x$. Also, let $r=|A_1|$.

If $k\leq r$, the algorithm finds, by a recursive call, the k-th largest element in $A_1$ and returns it. Otherwise, the algorithm finds, by a recursive call, the $(k−r)$-th largest element in $A_2$ and returns it.

You can ignore partition issues. (It is possible, when convenient, to assume that $n$ is divisible by 4, that $m$ is divisible by 5, and so on.)
What is the smallest $b$ such that $r\leq bn+O(1)$ always holds? Prove your answer.

\end{document}",na,\( 1 - \frac{3}{5} \cdot \frac{2}{4} = \frac{7}{10} \),Selection and median-of-median algorithm
Amortized analysis,na,"
In this question, we will analyze a new deterministic algorithm for the selection problem. The algorithm selects the k-th largest element from a set \( A \) with \( n \) distinct elements.

If \( n < 100 \), the algorithm sorts the \( n \) elements and returns the k-th largest element.

Otherwise, the algorithm divides the elements into quartets. The algorithm sorts each quartet and selects the third largest element from it. (If the quartet is \( a < b < c < d \), then the selected element is \( c \).) We denote by \( B \) the set of selected elements.

Among the \( m = n/4 \) elements of \( B \), the algorithm selects, through a recursive call, the \((2/5)m\)-th largest element. We denote this element by \( x \). (\( x \) is greater than or equal to \((2/5)m\) elements of \( B \).)

The element \( x \) is now compared to all elements of \( A \). We denote by \( A_1 \) the elements of \( A \) that are less than or equal to \( x \), and by \( A_2 \) the elements of \( A \) that are greater than \( x \). We also denote \( r = |A_1| \).

If \( k \leq r \), the algorithm finds, through a recursive call, the k-th largest element in \( A_1 \) and returns it. Otherwise, the algorithm finds, through a recursive call, the \((k−r)\)-th largest element in \( A_2 \) and returns it.

We can ignore partitioning problems. (It is possible, when convenient, to assume that \( n \) is divisible by 4, that \( m \) is divisible by 5, and so on.)
Write a recurrence relation for the running time of the algorithm on a set with \( n \) elements.",na,"\text{The runtime consists of linear work on the array, a recursive call on B of size } n/4, \text{ and a recursive call on A1 or A2 whose size we have bounded in the previous sections. In total, } T(n)=O(n)+T(n/4)+T(7n/10).","Selection and median-of-median algorithm,   Recursive algorithms,   Complexity analysis"
Amortized analysis,na,"\documentclass{article}
\begin{document}

In this question, we will analyze a new deterministic algorithm for the Selection problem. The algorithm selects the k-th largest element from a set A of n different elements.

If \( n < 100 \), the algorithm sorts the n elements and returns the k-th largest element.

Otherwise, the algorithm divides the elements into quartets. The algorithm sorts each quartet and selects from it the third largest element. (If the quartet is \( a < b < c < d \), then the selected element is \( c \).) Let B denote the set of selected elements.

Among the \( m = n/4 \) elements of B, the algorithm selects, by a recursive call, the (2/5)m-largest element. Let this element be denoted by x. (x is greater than or equal to \((2/5)m\) of the elements of B.)

The element x is now compared to all the elements of A. Let \( A_1 \) denote the elements of A that are less than or equal to x, and let \( A_2 \) denote the elements of A that are greater than x. Also denote \( r = |A_1| \).

If \( k \leq r \), the algorithm finds, by a recursive call, the k-th largest element in \( A_1 \) and returns it. Otherwise, the algorithm finds, by a recursive call, the (k-r)-th largest element in \( A_2 \) and returns it.

Division issues can be ignored. (It is possible to assume for convenience that n is divisible by 4, m is divisible by 5, and so on.)
What is the runtime of the algorithm (as a function of n)? (An asymptotic answer in terms of \( O(.) \) is sufficient.)

\end{document}",na,"\text{Since } \frac{1}{4} + \frac{7}{10} < 1, \text{ the analysis is similar to that of the selection algorithm - } O(n).","Selection and median-of-median algorithm,   Recursive algorithms,   Complexity analysis"
Recursive algorithms,9,"\textbf{Given} an input consisting of $n$ distinct arbitrary integers, we are interested in sorting it. \textbf{It is also given} that the number of inversion pairs, denoted by $\frac{n(n-1)}{2}$, the number of number pairs that are in reverse relative order, is $I = \frac{n(n-1)}{2} - 5n$. A pair of elements $a_i$ and $a_j$ is inverted if $a_i < a_j$ and $i > j$.

Choose the most correct answer (it is possible that among different options, the strongest correct one should be chosen).

a. A lower bound on the sorting time of the input is $\Omega(n \log n)$.
b. The input can be sorted in $O(n)$ time.
c. The input can be sorted in $O(n \log \log n)$ time.
d. The input can be sorted in $O(n \log(n))$ time.
e. Answers a and d are correct.
f. No answer is correct.",b,"\text{The answer is B. We will reverse the array, and we will find that the number of arrangements and the inverse arrangements have swapped. That means, currently the number of pairs in reverse order is } 5n. \text{ We will sort using finger trees and get } O(n + n \log(m/n)) = O(n + n \log 5) = O(n).",Lower bound for comparison based sorting
Recursive algorithms,6,"\textit{Suppose that the data structure of SUFFIX TREE is updated so that the LABEL of each edge is only one character (that is, instead of an edge with the label ""ck ... c1"" there will be k edges with the labels ""c1"", ""c2"", ..., ""ck""). And it is allowed for an internal node to have one child. What is the worst-case space complexity for this data structure for strings of length n?}

A. \(O(\log n)\)

B. \(O(n)\)

C. \(O(n \log n)\)

D. \(O(n^2)\)

E. \(O(n^3)\)

F. None of the answers are correct",d,"\text{The answer is D. The worst-case scenario can occur when no ""letter"" repeats twice, and it is required that the alphabet be larger than } n. \text{ In this case, we will get a star tree shape around the root, where each edge coming out of the root points to a leaf representing a different and unique substring. Therefore, at least } O(n(n+1)/2)=O(n^2) \text{ space is required.}",Suffix trees
Recursive algorithms,9,"\[
Let \, T(n) \, be \, the \, recurrence \, relation \, T(n) = aT(n/a) + f(n) \\
where \, a \, is \, an \, integer \, greater \, than \, 1, \, and \, f(n) \, satisfies \, f(n) = \Theta(n(\log^k(n))) \, for \, an \, integer \, k \, greater \, than \, 1. \, Find \, a \, tight \, bound \, for \, T(n).
\]

\begin{enumerate}
    \item \Theta (n \log n)
    \item \Theta (n \log^k \log n)
    \item \Theta (n \log n / \log k)
    \item \Theta (n (\log^k n))
    \item \Theta (n (\log^{(k+1)} n))
    \item None \, of \, the \, above \, is \, correct
\end{enumerate}",d,"The answer is D.  
According to case 3 of the father's method.","Complexity analysis,   Recursive algorithms"
Amortized analysis,na,"In the string $S$, the letter $A$ appears one million times, the letter $B$ 100,000 times, and the letter $C$ 1,000 times. Draw the Huffman tree of the string and calculate the encoding length of the string according to this tree.",na,"The encoding length is equal to:  
\(10^6 + 2 \times 10^5 + 2 \times 10^3 = 1202000\)",OTHER
Amortized analysis,na,"Mapping \( n \) elements using a universal hash function family to a table with \( m \) cells while resolving collisions by chaining. What is the expected number of pairs \((x, y)\) such that \(x\) and \(y\) are elements of the input, and both map to the same cell?",na,"Answer: \(\Theta(\sqrt[3]{n})\). We number the elements from 1 to \(n\). Let \(X_{i,j}\) be a random variable that equals 1 if element number \(i\) collides with element number \(j\), and equals 0 otherwise. Let \(X\) be the sum of these variables. Then \(X\) equals the number of collisions. According to the linearity of expectation, \( \mathbb{E}[X] = \sum_{i<j} \mathbb{E}[X_{i,j}] \). The probability that two specific elements collide is \( \frac{1}{\text{number of slots}} \). Therefore, \( \mathbb{E}[X_{i,j}] = \frac{1}{m} \) and thus \( \mathbb{E}[X] = \binom{n}{2} \cdot \frac{1}{m} \).",Hash tables
Arrays and linked lists,10,"\begin{itemize}
\item Given the following recurrence formula:
\[ T(N) = 
\begin{cases} 
8T(\lfloor n/4 \rfloor) & \text{if } n>1 \\
1 & \text{if } n=1 
\end{cases}
\]

A student claimed that the formula satisfies \( T(n)=O(n) \) and provided the following proof:
\begin{enumerate}
    \item[i.] For \( n=1 \) the claim holds immediately.
    \item[ii.] For \( 1<n \) we will prove by induction.
    \begin{enumerate}
        \item[a.] Assume \( T(i) < ci \) for all \( i < n-1 \).
        \item[b.] Substitute the recurrence formula with assumption a and get: \( T(n) \leq 8(cn/4)+n \).
        \item[c.] From b we get \( T(n)=O(n) \).
    \end{enumerate}
\end{enumerate}

Choose the most correct answer:
\begin{enumerate}
    \item[a.] The student was correct in the claim and in the proof.
    \item[b.] The student was wrong in the claim and in the proof. The incorrect part of the proof is ii.c.
    \item[c.] The student was wrong in the claim and in the proof. The incorrect part of the proof is i.
    \item[d.] The student was correct in the claim and wrong in the proof.
    \item[e.] The claim is incorrect but if we replace the number 8 with 4 in the recurrence formula, the claim would be correct.
    \item[f.] Answers b and c are correct.
\end{enumerate}
\end{itemize}",F,ו. Answers B+C are correct,Complexity analysis
Recursive algorithms,9,"\text{We implemented a binary search tree (not necessarily balanced) on } n \text{ elements. Let } k \text{ denote the number of elements in the tree for which the find operation takes constant time (i.e., independent of } n\text{). What is } k\text{?} \\
\text{A. } k=1 \\
\text{B. } k=O(1) \\
\text{C. } k=O(\log n) \\
\text{D. } k=\lfloor n/2 \rfloor \\
\text{E. } k=O(n) \\
\text{F. Insufficient data to determine} \\
\text{Justify your answer.}",B,\textbf{Answer B:} It is not possible for there to be more than a fixed number of nodes at a given depth because each node has at most 2 children.,Binary search trees
Recursive algorithms,10,"\textbf{We want to color the nodes of a full binary search tree (i.e., each node has two children) in red and black, so that the coloring adheres to the rules of a red-black tree. Which of the following conditions is a sufficient condition for such a coloring to exist?}
A. All leaves are at the same distance from the root.  
B. The largest distance from the root to a leaf is at most twice the smallest distance from the root to a leaf.  
C. The depth of the right subtree of the root is at most twice the depth of the left subtree of the root.  
D. Answers A and B are correct.  
E. Answers A and C are correct.  
F. No answer is correct.",A,"\textbf{Answer A:} We will paint the entire tree black. It is possible to construct a tree that contradicts B, therefore D is not correct.",Binary search trees
Recursive algorithms,9,"\text{We are given two 2-4+ trees, one with height } h_1 \text{ and the other with height } h_2. \text{ The heights } h_1 \text{ and } h_2 \text{ are known to us, and we also know that } h_1 > h_2, \text{ and that all elements in the first tree (height } h_1) \text{ are smaller than all elements in the second tree. We want to merge the two trees into one. In what running time can this be done? Choose the tightest answer.} \\
\text{a. } O(h_1) \\
\text{b. } O(h_2) \\
\text{c. } O(h_1h_2) \\
\text{d. } O(h_1/h_2) \\
\text{e. } O(h_1+h_2) \\
\text{f. } O(h_1-h_2) \\
\text{Explain your answer.}",F,\textbf{Answer V:} We will hang the small tree on the rightmost path of the large tree and correct upwards.,"Balanced BST (AVL,   B)"
Recursive algorithms,10,"\begin{itemize}
    \item In this question, we discuss a tree with $100 < n$ nodes where the degree of the root is 2. 
    \item We define the imbalance of the tree as the ratio between the depth of the left subtree of the root and the depth of the right subtree of the root (ratio = the first number divided by the second number).
    \item In which of the following trees can we achieve the greatest imbalance:
    \begin{enumerate}
        \item A tree representing a red-black tree.
        \item A tree representing a 2-4 tree where the degree of the root is 2.
        \item A tree representing a find-union structure (with rank by union) where the degree of the root is 2.
        \item A tree representing a find-union structure without rank by union where the degree of the root is 2.
        \item Answers (a) and (b) are correct.
        \item Answers (c) and (d) are correct.
    \end{enumerate}
\end{itemize}",D,\textbf{Answer D: This is the only tree where there is no depth balance.},Union-Find
Recursive algorithms,9,"Let \( A \) be an array of \( N \) numbers. Let the number at the i-th position be denoted as \( A_i \). We say there is an inversion between \( A_i \) and \( A_j \) if \( i < j \) and \( A_i > A_j \). Let \( I \) denote the number of inversions in the array.

What is the runtime of the most efficient algorithm that takes \( A \) and returns the number of inversions, i.e., \( I \)? Choose the tightest upper bound for the runtime of the algorithm:

A. \( O(I) \)  
B. \( O(I + N) \)  
C. \( O(N \log N) \)  
D. \( O(\min\{I+N, N \log N\}) \)  
E. \( O(N + N \log (I/N)) \)  
F. None of the above.

Justify your answer.",E,"\textbf{Solution H'.} In the lecture, we saw insertion sorting using TREE FINGER. The overall runtime is $O(N+N\log(I/N))$ and for each insertion $O(\log(I_k))$, where $I_k$ is the number of inversions up to the $k$-th element. Two things need to be noted: the adjustments for a balanced tree in a red-black tree require a total linear time, and we have already considered the cost of the search. It is possible to perform the SIZE field update during the ascent in the search (using update debt memorization), and therefore it does not add to the cost.",Complexity analysis
Amortized analysis,2,"The deterministic ""select"" algorithm operates as follows:
a. The array is divided into groups of size 5.
b. Each group is sorted.
c. A pivot is chosen as the median of the medians.
d. A ""Partition"" is performed with the chosen pivot.
Assume that instead of groups of size 5 we take groups of size \(\log(n)\). What will be the running time of the algorithm?
What is the cost of step b?",na,\text{Cost} = \Theta(n \log \log n): \text{Explanation: Each set of size} \log n \text{ is sorted in } \Theta (\log n  \cdot  \log \log n) \text{ time. There are } \frac{n}{\log n} \text{ such sets.},Selection and median-of-median algorithm
Amortized analysis,8,"The ""select"" deterministic algorithm operates as follows:
a. The array is divided into groups of size 5.
b. Each group is sorted.
c. A pivot is chosen as the median of the medians.
d. A ""Partition"" is performed with the chosen pivot.
Suppose that instead of groups of size 5, we take groups of size \(\log(n)\). What will be the runtime of the algorithm? What is the total cost of the algorithm?",na,"\text{Cost: } O(n \log \log n). \text{ Explanation: It can be shown that the pivot is larger (and smaller) than at least } \frac{n}{4} \text{ elements, and therefore the recurrence formula is } T(n) \leq C \cdot n \log \log n + T\left(\frac{n}{\log n}\right) + T\left(\frac{3n}{4}\right). \text{ By induction it can be shown that this results in } T(n) = \Theta(n \log \log n).",Selection and median-of-median algorithm
Amortized analysis,2,"\textbf{Reminder:} In perfect hash, we choose a random universal hash function to map a given space \( U \) of size \( n \) to an array of size \( n \). Let \( n_i \) be the number of elements mapped to cell \( i \). Then, a random universal hash function is used to map the elements mapped to cell \( i \) to another array of size \( n_i^2 \).

\textbf{Question:} 

Define: A nearly universal family of functions is a family of functions from space \( U \) to \(\{0, \ldots, m-1\}\) such that for any pair of keys \( k_1, k_2 \) in \( U \) the condition \( \Pr(h[k_1] = h[k_2]) \leq 1/m^{0.5} \) holds. Suppose we have a nearly universal family when \( |U| = n \). We take a random function from the family and use it to map the elements of \( U \) to an array of size \( m \). What is the best upper bound on the expected number of collisions if \( m = n^4 \)?",na,"\text{Answer = 0.5. There are } \frac{n^2}{2} \text{ possible collisions and the probability for each is } \frac{1}{\sqrt{m}} = \frac{1}{n^2}, \text{ so by linearity of expectation we get 0.5.}",Hash tables
Arrays and linked lists,9,"\textbf{Given an input sequence of} $N$ \textbf{distinct real numbers. The first} $0.99N$ \textbf{numbers in the sequence are given in a random arbitrary order (any order is equally likely). The last} $0.01N$ \textbf{numbers satisfy:} 

\textbf{A. They are all smaller than all of the first} $0.99N$ \textbf{numbers in the sequence.}

\textbf{B. They are sorted in ascending order.}

\textbf{Insert the numbers, in their given order, using the insert operation as learned in class, into a regular binary search tree (BST) (not necessarily balanced).}

\textbf{Choose the most accurate statement and provide a convincing argument:}

\textbf{A. The expected total cost of all insertions is} $\Theta(N \log N)$ \textbf{and the maximum cost of a single insertion in the sequence is} $\Theta(N)$

\textbf{B. The expected total cost of all insertions is} $\Theta(N^2)$ \textbf{and the maximum cost of a single insertion in the sequence is} $\Theta(N)$

\textbf{C. The expected total cost of all insertions is} $\Theta(N \log N)$ \textbf{and the maximum cost of a single insertion in the sequence is} $\Theta(\log N)$

\textbf{D. The expected total cost of all insertions is} $\Theta(N^2)$ \textbf{and the maximum cost of a single insertion in the sequence is} $\Theta(\log N)$

\textbf{E. The expected total cost of all insertions is} $\Theta(N)$ \textbf{and the maximum cost of a single insertion in the sequence is} $\Theta(\log N)$

\textbf{F. None of the answers are correct}",B,"\textbf{Answer:} \\
b. The expected total cost of all the revenues is \(\Theta(N^2)\). \\
The maximum cost of a single revenue in the series is \(\Theta(N)\).",Binary search trees
Arrays and linked lists,7,"Given a pseudo code for a sorting algorithm named Min-Max-Sort. The algorithm takes as input an array \( A \) of \( n \) numbers, and two indices \( p, q \) that satisfy \( 1 \leq p \) and \( p \leq q \leq n \). The algorithm sorts the subarray \( A[p \ldots q] \). 
To sort the entire array \( A \), call Min-Max-Sort(A,1,n).

Min-Max-Sort(A,p,q)
\{
(r,s) \leftarrow \text{rearrange}(A,p,q)
// Rearranges the array A[p,q] such that all occurrences of the minimum are in positions A[p \ldots r-1],
// all occurrences of the maximum are in positions A[s+1 \ldots q], and the rest in A[r \ldots s], and returns r, s.
If(r \leq s)
\quad Min-Max-Sort(A,r,s)
\}

Example for the Rearrange algorithm:
Assume the array \( A \) is: 23 20 3 10 2 10 4 5 1 1
and call Rearrange(A,3,8), then a possible result is: 23 20 10 10 3 4 5 2 1 1
The returned indices are (4,6).
For every subarray \( A[p \ldots q] \), the procedure Rearrange runs in linear time in the size of \( A[p \ldots q] \).
Assume that there are \( k \) distinct values in the array \( A \).
What is the time complexity of the algorithm as a function of \( n \) and \( k \) in the worst case, when running Min-Max-Sort(A,1,n)?

A. \(\Theta(n \log(\frac{n}{k}))\)  
B. \(\Theta(n \log k)\)  
C. \(\Theta(n \log n)\)  
D. \(\Theta(nk)\)  
E. \(\Theta(n^2)\)  
F. None of the answers are correct",D,\textbf{Answer: D},Complexity analysis
Arrays and linked lists,9,"\begin{enumerate}
    \item If the array size is 1, stop.
    \item Divide the array into \(k\) parts of equal size (for simplicity, assume \(n\) is an integer power of \(k\)).
    \item Recursively sort each part using \(k\)-Merge-Sort.
    \item Merge the \(k\) parts into one sorted array (the merging is described below).
\end{enumerate}

\textbf{Merging \(k\) sorted arrays into one sorted array:}
\begin{enumerate}
    \item Keep a pointer to the beginning of each array.
    \item Insert the values pointed to into a binary minimum heap, along with the pointers, with the key being the value of the pointer.
    \item Perform \(n\) times:
    \begin{enumerate}
        \item Extract the minimum from the heap (denote the value as \(x\) from array \(A_i\)).
        \item Place \(x\) in the unified sorted array as the next value.
        \item Advance the pointer in array \(A_i\) and insert the value it points to into the heap. (If \(x\) is the last value in \(A_i\), do not insert another value into the heap).
    \end{enumerate}
\end{enumerate}

Choose the tightest upper bound possible for the running time of the \(k\)-Merge-Sort algorithm:
\begin{enumerate}
    \item \(O\left(\frac{n \log n}{\log k}\right)\)
    \item \(O(n \log n \cdot \log k)\)
    \item \(O(n \log k)\)
    \item \(O(n \log n)\)
    \item \(O(n (\log n)^k)\)
    \item None of the above
\end{enumerate}",D,\textbf{Answer: D},Complexity analysis
Arrays and linked lists,5,"\textbf{In this question, we deal with ordered pairs of integers }$(x,y)$\textbf{. Two pairs }$(a,b)$\textbf{ and }$(c,d)$\textbf{ are called swapped pairs if }$a=d$\textbf{ and }$c=b$\textbf{. For example: }$(10,17)$\textbf{ and }$(17,10)$\textbf{ are swapped pairs. We have }$M$\textbf{ distinct pairs of numbers }$(x,y)$\textbf{ given as input. We want to write an algorithm to find if among the }$M$\textbf{ pairs there is at least one pair of swapped pairs. We are interested in an algorithm whose expected running time, for any input, is as low as possible. What is the expected running time of the algorithm?}

\textbf{A. }$\theta(\log n)$\textbf{ on average}
\textbf{B. }$\theta(n)$\textbf{ on average}
\textbf{C. }$\theta(n\log n)$\textbf{ on average}
\textbf{D. }$\theta(n(\log n)^2)$\textbf{ on average}
\textbf{E. }$\theta(n^2)$\textbf{ on average}
\textbf{F. None of the answers is correct}",B,\textbf{Answer: B},Complexity analysis
Arrays and linked lists,9,"\textbf{The following question pertains to the Fibonacci heap data structure as studied and analyzed in class. As a reminder, the operations supported by this data structure are:} make-heap \textbf{(creating an empty heap),} insert \textbf{(inserting a new element into an existing heap),} meld \textbf{(merging two heaps),} decrease-key \textbf{(decreasing the key of a given element),} find-min \textbf{(finding the element in the heap with the minimum key), and} delete-min \textbf{(deleting the element with the minimum key from the heap).} \\
\textbf{n operations are performed on a collection of Fibonacci heaps. Initially, the collection is empty. All the heaps are created by make-heap operations that create empty heaps. Then elements are inserted into the heaps, merged, keys are decreased, elements are deleted, and so on.} \\
\textbf{Choose the most correct statement:} \\
\text{a. The amortized cost of each meld operation is} \, O(\log n) \\
\text{\hspace{1em} A meld operation may have a true cost of} \, \omega(n). \\
\text{b. The amortized cost of each meld operation is} \, O(1) \\
\text{\hspace{1em} A meld operation may have a true cost of} \, \omega(n). \\
\text{c. The amortized cost of each meld operation is} \, O(1) \\
\text{\hspace{1em} A meld operation may have a true cost of} \, \omega(\log n). \\
\text{d. The amortized cost of each meld operation is} \, O(1) \\
\text{\hspace{1em} A meld operation may have a true cost of} \, O(1). \\
\text{e. The amortized cost of each meld operation is} \, O(\log n) \\
\text{\hspace{1em} A meld operation may have a true cost of} \, O(\log n). \\
\text{f. The amortized cost of each meld operation is} \, O(n) \\
\text{\hspace{1em} A meld operation may have a true cost of} \, \omega(n). \\
",D,\textbf{Answer: D},"Binomial heaps,   Fibonacci heaps"
Arrays and linked lists,6,"The given minimal heap H contains n distinct data elements. We are interested in taking the smallest root(n) elements and sorting them in the lowest possible worst-case time. The cost of performing the operation using the best algorithm you know on H is:  
a. O(root(n))  
b. O(root(n)logn)  
c. O(n)  
d. O(nlogn)  
e. O(n root(n))  
f. O(n root(n)logn)",B,\textbf{Answer: B},Quick-sort
Amortized analysis,2,"The deterministic ""select"" algorithm, which we studied in class, works as follows:
a. The array is divided into groups of size 5
b. Sort each group
c. Choose a pivot as the median of the medians (recursively)
d. Perform ""partition"" with the chosen pivot
e. Recursively apply the algorithm on the relevant part.

Assume that instead of groups of size 5, we take groups of size 3. 
In this question, we will deal with the running time of the new algorithm with groups of size 3.
What is the cost of step b? 
Cost:
Explanation:",na,"\text{Cost: } O(N) \\
\text{Explanation: Sorting each triplet is fixed, and there are } N/3 \text{ triplets.}",Selection and median-of-median algorithm
Amortized analysis,2,"\textbf{The deterministic ""select"" algorithm, which we studied in class, operates as follows:}  
a. The array is divided into groups of size 5  
b. Each group is sorted  
c. A pivot is chosen as the median of the medians (recursively)  
d. A ""partition"" is performed with the chosen pivot  
e. The algorithm is applied recursively on the relevant part.  

\textbf{Assume that instead of groups of size 5, we take groups of size 3.}  
In this question, we will discuss the running time of the new algorithm with groups of size 3.  
Let \( T(N) \) denote the running time of the algorithm on an array of size \( N \). What is the cost of step c, expressed in terms of \( T \)?  
\textbf{Cost:}  
\textbf{Explanation:}",na,"\text{Cost: } T(N/3) \\
\text{Explanation: Looking for a median among } N/3 \text{ numbers}",Selection and median-of-median algorithm
Amortized analysis,6,"\textit{Given an array of size \( n \), divided into \( n/k \) segments, each of length \( k \). It is known that for any two of the \( k \) segments, either all the elements in the first segment are smaller than all the elements in the second segment, or all the elements in the first segment are larger than all the elements in the second segment.
We are interested in a sorting algorithm for arrays of this type, suitable for the comparison model, as well as a lower bound for sorting algorithms in the comparison model for arrays of this type.
Propose the best possible lower bound (as a function of \( n \) and \( k \)) and prove it.}",na,"The number of possible arrangements is \((k!)^{(n/k)} \cdot (n/k)!\).
Taking the log gives:
\(n \log k + \frac{n}{k} \log \frac{n}{k}\).",Lower bound for comparison based sorting
Amortized analysis,6,"\[
\text{Given an array of size } n, \text{ divided into } \frac{n}{k} \text{ segments, each of length } k. \text{ It is known that for any two of the } k \text{ segments, either all the elements in the first segment are smaller than all the elements in the second segment, or all the elements in the first segment are larger than all the elements in the second segment.}
\]
\[
\text{We are interested in a sorting algorithm for arrays of this type, suitable for the comparison model, and also in a lower bound for sorting algorithms in the comparison model for arrays of this type.}
\]
\[
\text{Propose a more efficient algorithm, if it is known that the number of distinct values in each segment is at most } \log k. \text{ What is the running time of the algorithm?}
\]",na,\text{Sorting each segment can now be done in }O(k\log\log k)\text{ time.},Lower bound for comparison based sorting
Recursive algorithms,10,"\begin{enumerate}
    \item A Fibonacci heap is given as learned in class. It is given that it is empty. We perform n insert operations and then two del-min operations. You need to choose the answer that contains:
    \begin{enumerate}
        \item The worst-case running time of the first min-del operation among the two.
        \item The worst-case running time of the second min-del operation among the two.
        \item Justify your answer.
    \end{enumerate}
    
\end{enumerate}

\begin{itemize}
    \item [A.] First w.c \(O(1)\) Second w.c \(O(1)\)
    \item [B.] First w.c \(O(\log n)\) Second w.c \(O(\log n)\)
    \item [C.] First w.c \(O(n)\) Second w.c \(O(n)\)
    \item [D.] First w.c \(O(\log n)\) Second w.c \(O(1)\)
    \item [E.] First w.c \(O(n)\) Second w.c \(O(\log n)\)
    \item [F.] First w.c \(O(n)\) Second w.c \(O(1)\)
\end{itemize}",E,"\textbf{Answer: h}
After one min-del operation, there will be trees up to degree \(\log n\), at most one of each degree.
Therefore, the successive linking in the next phase will take at most \(\log n\). The first operation
will take \(O(n)\) because each element is in its own tree.","Binomial heaps,   Fibonacci heaps"
Recursive algorithms,3,"The students were asked to design a new deterministic (non-random) sorting algorithm using comparisons and construct its comparison tree. The number of items to sort is \(N\) and they are all different from each other.

Student A proposed Algorithm A and constructed Tree A for it. The number of leaves in the tree is \(2^{(N \log \log N)}\).  
Student A proposed Algorithm B and constructed Tree B for it. The number of leaves in the tree is \(2^N\).  
Student A proposed Algorithm C and constructed Tree C for it. The number of leaves in the tree is \(N!\).

The three trees were examined and found to accurately reflect the algorithms. It is not known whether the algorithms are correct. Choose the correct answer and justify your answer:

Statement: The number of comparisons in the worst case of Algorithm C is \(O(N \log N)\).  
a. The statement is always true  
b. The statement is not necessarily true",B,"\textbf{Answer: B} \newline
The comparison tree can be balanced or unbalanced, and therefore it is not possible to bound the running time of algorithm G with \(O(N \log N)\).",Lower bound for comparison based sorting
Recursive algorithms,4,"The students were asked to design a new deterministic sorting algorithm (not random) using comparisons and to build its comparison tree. The number of elements to sort is \( N \) and they are all different from each other.

Student A proposed Algorithm A and built Tree A for it. The number of leaves in the tree is \( 2^{N \log \log N} \).  
Student A proposed Algorithm B and built Tree B for it. The number of leaves in the tree is \( 2^N \).  
Student A proposed Algorithm C and built Tree C for it. The number of leaves in the tree is \( N! \).

The three trees were examined and found to accurately reflect the algorithms. It is not known whether the algorithms are correct. Choose the correct answer and justify your choice:

A. Algorithm A is an incorrect algorithm.  
B. Algorithm A may be correct.",A,"\textbf{Answer: A}\\
Algorithm A' is incorrect because there are not enough leaves in its comparison tree.",Lower bound for comparison based sorting
Recursive algorithms,10,"Two binary heaps are given: heap 1 with \( n_1 \) elements, and heap 2 with \( n_2 \) elements. 
Also, it is given that \( n_1 = n_2^2 \). 
Each heap is maintained in an infinite array. What is the best running time for merging the two heaps, that is, an operation that results in one array (it can be one of the heap arrays, there is no need to preserve the original heaps) containing all the elements, such that they represent a heap?
Choose the correct answer and justify your answer. 
A. \( O(\log(n_1) + \log(n_2)) \) 
B. \( O(n_2) \)
C. \( O(n_1) \) 
D. \( O(n_1 + n_2) \) 
E. \( O(n_2 \log n_1) \) 
F. \( O(n_1 \log n_2) \) ",E,\textbf{Answer:} We will insert the elements of the smaller heap into the larger heap one by one.,Binary heaps
